timestamp,event_type,user_id,gender,age_group,country,source,Type of viewer
2025-12-25 10:00:00,view,U0000,F,18-24,Nepal,Reels,Non-Follower
2025-12-25 10:00:03,view,U0001,F,25-34,Nepal,Feed,Non-Follower
2025-12-25 10:00:06,view,U0002,M,18-24,Nepal,Reels,Non-Follower
2025-12-25 10:00:09,view,U0003,F,35-44,Nepal,Reels,Non-Follower
2025-12-25 10:00:12,view,U0004,F,18-24,Nepal,Explore,Non-Follower
2025-12-25 10:00:15,view,U0005,F,18-24,Nepal,Explore,Non-Follower
2025-12-25 10:00:18,view,U0006,M,18-24,Nepal,Feed,Non-Follower
2025-12-25 10:00:21,view,U0007,F,18-24,Nepal,Reels,Non-Follower
2025-12-25 10:00:24,view,U0008,F,18-24,Nepal,Reels,Non-Follower
2025-12-25 10:00:27,view,U0009,F,25-34,Nepal,Feed,Non-Follower
2025-12-25 10:00:30,view,U0010,F,25-34,India,Explore,Follower
2025-12-25 10:00:33,view,U0011,M,18-24,India,Reels,Follower
2025-12-25 10:00:36,view,U0012,F,18-24,India,Reels,Follower
2025-12-25 10:00:39,view,U0013,F,18-24,India,Reels,Follower
2025-12-25 10:00:42,view,U0014,F,35-44,India,Feed,Follower
2025-12-25 10:00:45,view,U0015,F,18-24,India,Explore,Follower
2025-12-25 10:00:48,view,U0016,F,18-24,India,Reels,Follower
2025-12-25 10:00:51,view,U0017,M,25-34,India,Reels,Follower
2025-12-25 10:00:54,view,U0018,F,18-24,India,Reels,Follower
2025-12-25 10:00:57,view,U0019,M,25-34,India,Reels,Follower
2025-12-25 10:01:00,view,U0020,M,25-34,India,Reels,Follower
2025-12-25 10:01:03,view,U0021,F,18-24,India,Feed,Follower
2025-12-25 10:01:06,view,U0022,F,25-34,India,Reels,Follower
2025-12-25 10:01:09,view,U0023,M,18-24,India,Feed,Follower
2025-12-25 10:01:12,view,U0024,M,25-34,India,Reels,Follower
2025-12-25 10:01:15,view,U0025,F,18-24,India,Feed,Follower
2025-12-25 10:01:18,view,U0026,F,18-24,India,Feed,Follower
2025-12-25 10:01:21,view,U0027,F,18-24,India,Feed,Follower
2025-12-25 10:01:24,view,U0028,M,18-24,India,Reels,Follower
2025-12-25 10:01:27,view,U0029,F,18-24,India,Feed,Follower
2025-12-25 10:01:30,view,U0030,F,25-34,India,Reels,Follower
2025-12-25 10:01:33,view,U0031,F,25-34,India,Reels,Follower
2025-12-25 10:01:36,view,U0032,M,18-24,India,Reels,Follower
2025-12-25 10:01:39,view,U0033,M,35-44,India,Reels,Follower
2025-12-25 10:01:42,view,U0034,M,18-24,India,Explore,Follower
2025-12-25 10:01:45,view,U0035,M,18-24,India,Feed,Follower
2025-12-25 10:01:48,view,U0036,F,18-24,United States,Explore,Non-Follower
2025-12-25 10:01:51,view,U0037,F,18-24,India,Reels,Follower
2025-12-25 10:01:54,view,U0038,F,25-34,India,Reels,Follower
2025-12-25 10:01:57,view,U0039,F,18-24,India,Reels,Follower
2025-12-25 10:02:00,view,U0040,M,18-24,Sri Lanka,Reels,Non-Follower
2025-12-25 10:02:03,view,U0041,M,18-24,United States,Explore,Non-Follower
2025-12-25 10:02:06,view,U0042,F,35-44,India,Feed,Follower
2025-12-25 10:02:09,view,U0043,M,18-24,India,Reels,Follower
2025-12-25 10:02:12,view,U0044,M,18-24,India,Explore,Follower
2025-12-25 10:02:15,view,U0045,F,18-24,India,Reels,Follower
2025-12-25 10:02:18,view,U0046,F,25-34,India,Reels,Follower
2025-12-25 10:02:21,view,U0047,M,18-24,India,Feed,Non-Follower
2025-12-25 10:02:24,view,U0048,M,18-24,India,Explore,Non-Follower
2025-12-25 10:02:27,view,U0049,F,18-24,India,Reels,Non-Follower
2025-12-25 10:02:30,view,U0050,F,18-24,India,Reels,Non-Follower
2025-12-25 10:02:33,view,U0051,M,18-24,India,Reels,Non-Follower
2025-12-25 10:02:36,view,U0052,F,18-24,India,Feed,Non-Follower
2025-12-25 10:02:39,view,U0053,M,18-24,India,Reels,Non-Follower
2025-12-25 10:02:42,view,U0054,M,18-24,India,Explore,Non-Follower
2025-12-25 10:02:45,view,U0055,M,18-24,India,Reels,Non-Follower
2025-12-25 10:02:48,view,U0056,F,18-24,India,Feed,Non-Follower
2025-12-25 10:02:51,view,U0057,F,18-24,India,Reels,Non-Follower
2025-12-25 10:02:54,view,U0058,F,25-34,India,Feed,Non-Follower
2025-12-25 10:02:57,view,U0059,M,18-24,India,Reels,Non-Follower
2025-12-25 10:03:00,view,U0060,F,25-34,India,Reels,Non-Follower
2025-12-25 10:03:03,view,U0061,F,18-24,India,Reels,Non-Follower
2025-12-25 10:03:06,view,U0062,F,18-24,India,Reels,Non-Follower
2025-12-25 10:03:09,view,U0063,F,25-34,India,Reels,Non-Follower
